Time,Steps,TimePerStep
3432048, 2672387, 1.28426
4088640, 2672395, 1.52995
3147653, 2672387, 1.17784
2444329, 2672385, 0.914662
3481786, 2672385, 1.30288
4120120, 2672385, 1.54174
4542278, 2672387, 1.69971
4587488, 2672385, 1.71663
3351559, 2672385, 1.25415
3527293, 2672385, 1.3199
3842417, 2672387, 1.43782
3099929, 2672385, 1.15999
4354406, 2672385, 1.62941
4036196, 2672387, 1.51033
3617660, 2672385, 1.35372
3859574, 2672387, 1.44424
3828367, 2672393, 1.43256
3793635, 2672389, 1.41957
3699980, 2672395, 1.38452
4137295, 2672387, 1.54816
3890007, 2672389, 1.45563
4087950, 2672385, 1.5297
3942059, 2672389, 1.47511
3705884, 2672387, 1.38673
4502173, 2672387, 1.6847
4255732, 2672391, 1.59248
3358904, 2672391, 1.25689
3543615, 2672387, 1.32601
3215141, 2672389, 1.2031
4051526, 2672387, 1.51607
3494688, 2672391, 1.3077
3194431, 2672385, 1.19535
3757285, 2672387, 1.40597
3807402, 2672387, 1.42472
4087234, 2672387, 1.52943
4511087, 2672393, 1.68803
4064162, 2672387, 1.5208
3644044, 2672385, 1.36359
3928037, 2672389, 1.46986
3513102, 2672387, 1.31459
3543771, 2672395, 1.32607
3067241, 2672387, 1.14775
3783830, 2672385, 1.4159
4111456, 2672387, 1.5385
3631508, 2672385, 1.3589
3632856, 2672387, 1.3594
3746265, 2672387, 1.40184
3365466, 2672389, 1.25935
3020223, 2672385, 1.13016
3743255, 2672395, 1.40071
3528482, 2672385, 1.32035
4320091, 2672389, 1.61657
4129146, 2672387, 1.54512
3773099, 2672385, 1.41188
3886734, 2672391, 1.4544
3538372, 2672387, 1.32405
3717038, 2672387, 1.39091
3220532, 2672389, 1.20511
4026676, 2672393, 1.50677
4256404, 2672395, 1.59273
3255340, 2672385, 1.21814
3130596, 2672387, 1.17146
3808280, 2672391, 1.42505
4177175, 2672387, 1.56309
3806427, 2672389, 1.42435
4359225, 2672385, 1.63121
3681512, 2672387, 1.37761
3606567, 2672399, 1.34956
