Time,Steps,TimePerStep
5082338, 2672385, 1.9018
5078496, 2672385, 1.90036
4997908, 2672457, 1.87015
4886828, 2672435, 1.8286
4964551, 2672385, 1.85772
5205335, 2672385, 1.94782
4978727, 2672385, 1.86303
4932950, 2672385, 1.8459
4935749, 2672393, 1.84694
4933355, 2672385, 1.84605
4946400, 2672385, 1.85093
4980650, 2672385, 1.86375
4926553, 2672385, 1.8435
4925606, 2672385, 1.84315
4905540, 2672421, 1.83562
4902320, 2672385, 1.83444
4934070, 2672385, 1.84632
4974736, 2672385, 1.86153
4962747, 2672385, 1.85705
4964073, 2672387, 1.85754
4962851, 2672385, 1.85709
4989603, 2672385, 1.8671
4969180, 2672393, 1.85945
4952900, 2672501, 1.85328
4954025, 2672399, 1.85377
4977855, 2672477, 1.86264
4969289, 2672385, 1.8595
4953613, 2672385, 1.85363
4952778, 2672389, 1.85331
5002284, 2672385, 1.87184
4958067, 2672385, 1.8553
4967287, 2672385, 1.85875
4932148, 2672385, 1.8456
4938884, 2672385, 1.84812
4937053, 2672385, 1.84743
4965320, 2672385, 1.85801
4960517, 2672385, 1.85621
4963779, 2672385, 1.85743
4958120, 2672387, 1.85532
4961500, 2672393, 1.85658
4989920, 2672385, 1.86722
4958178, 2672385, 1.85534
4941750, 2672385, 1.84919
4920911, 2672387, 1.84139
4952014, 2672413, 1.85301
4950413, 2672417, 1.85241
4954744, 2672393, 1.85405
4982011, 2672387, 1.86426
4955536, 2672385, 1.85435
4960269, 2672389, 1.85612
4945352, 2672385, 1.85054
4948952, 2672385, 1.85189
4985718, 2672385, 1.86564
5007842, 2672391, 1.87392
4955787, 2672691, 1.85423
4948323, 2672419, 1.85163
4917675, 2672405, 1.84017
4943334, 2672513, 1.8497
4937195, 2672643, 1.84731
4929007, 2672385, 1.84442
4952066, 2672385, 1.85305
4945065, 2672385, 1.85043
4964389, 2672385, 1.85766
4960121, 2672387, 1.85606
4957403, 2672457, 1.855
4966571, 2672541, 1.85837
4943644, 2672435, 1.84987
4969683, 2672385, 1.85964
4930139, 2672385, 1.84485
4942168, 2672385, 1.84935
4925518, 2672385, 1.84312
4938211, 2672385, 1.84787
4899425, 2672385, 1.83335
4924767, 2672385, 1.84284
4943328, 2672421, 1.84976
4945003, 2672385, 1.85041
4944697, 2672387, 1.85029
4866513, 2672385, 1.82104
4837259, 2672385, 1.81009
4851847, 2672431, 1.81552
4944616, 2672385, 1.85026
4953181, 2672385, 1.85347
4955567, 2672385, 1.85436
4932930, 2672385, 1.84589
4935695, 2672429, 1.84689
4933531, 2672387, 1.84611
4940252, 2672397, 1.84862
4952001, 2672407, 1.85301
4942508, 2672517, 1.84938
4932710, 2672385, 1.84581
4955241, 2672419, 1.85422
4954024, 2672385, 1.85378
4939186, 2672421, 1.84821
4922354, 2672385, 1.84193
4917411, 2672385, 1.84008
4909824, 2672385, 1.83724
4934374, 2672425, 1.8464
4916184, 2672385, 1.83962
4942519, 2672385, 1.84948
